time,target_ticks,actual_ticks,effort
0.0467482,92,92,-0.85
0.09476,92,91,3
0.142732,92,92,-1.35
0.190713,92,92,-2.55
0.238719,92,91,4.75
0.286703,92,91,9.25
0.334739,-90,91,-300
0.382797,-90,86,-300
0.430785,-90,73,-300
0.478757,-90,60,-300
0.526703,-90,48,-300
0.574782,-90,35,-300
0.622776,-90,23,-300
0.670757,-90,11,-300
0.718859,-90,-2,-300
0.766689,-90,-14,-280.9
0.814725,-90,-26,-226.65
0.862685,-90,-39,-171.05
0.910734,-90,-51,-113.75
0.958727,-90,-63,-57.35
1.00669,-90,-76,-0.1
1.05469,-90,-87,45.65
1.10267,-90,-95,60.7
1.15067,-90,-96,35.6
1.1987,-90,-92,-9.85
1.24667,-90,-86,-47.4
1.29466,-90,-84,-39.75
1.34266,-90,-86,-12.3
1.39066,-90,-89,16.15
1.43883,-90,-93,28.25
1.48673,-90,-93,13.3
1.53472,-90,-91,-8.85
1.58274,-90,-87,-27.35
1.63072,-90,-87,-18.4
1.67873,-90,-88,-1.2
1.72671,-90,-90,5.2
1.77473,-90,-90,-0.3
1.82272,-90,-89,-4.6
1.87072,-90,-90,-1.1
1.91876,-90,-90,0.55
1.96669,-90,-90,0.05
2.0147,-90,-90,-0.4
2.06262,-90,-90,-0.4
2.11062,-90,-90,-0.4
2.15869,-90,-90,-0.4
2.2068,-90,-90,0.45
2.25473,-90,-90,-0.85
2.30272,-90,-90,-0.4
2.35067,-90,-90,-0.4
2.39866,-90,-90,0.45
2.44663,-90,-90,-0.85
2.49464,-90,-90,-0.4
2.54268,-90,-90,-0.4
2.59062,-90,-90,-0.4
2.63868,-90,-90,-0.4
2.68661,-90,-90,-0.4
2.73464,-90,-90,-0.4
2.78261,-90,-90,-0.4
2.83061,-90,-90,-0.4
2.87864,-90,-90,-0.4
2.92665,-90,-90,0.45
2.97461,-90,-90,0
3.02268,-90,-90,-0.85
3.07064,-90,-90,0.45
3.11864,-90,-90,0
3.16672,-90,-90,0
3.21469,-90,-90,-0.85
3.26263,-90,-90,-0.4
3.31061,-90,-90,-0.4
3.3586,-90,-90,-0.4
3.40659,-90,-90,-0.4
3.45463,-90,-90,-0.4
3.50263,-90,-90,-0.4
3.55059,-90,-90,-0.4
3.59858,-90,-90,0.45
3.6466,-90,-90,-0.85
3.69462,-90,-90,0.45
3.7426,-90,-90,-0.85
3.79058,-90,-90,-0.4
3.83858,-90,-90,-0.4
3.88663,-90,-90,-0.4
3.93459,-90,-90,-0.4
3.9825,-90,-90,-0.4
4.03052,-90,-90,-0.4
4.0785,-90,-90,-0.4
4.12665,-90,-90,-0.4
4.17462,-90,-90,-0.4
4.22255,-90,-90,0.45
4.27054,-90,-90,-0.85
4.31852,-90,-90,-0.4
4.36646,-90,-90,-0.4
4.41454,-90,-90,-0.4
4.46254,-90,-90,-0.4
4.51052,-90,-90,-0.4
4.55849,-90,-90,-0.4
4.60651,-90,-90,-0.4
4.65453,-90,-90,0.45
4.70251,-90,-90,0
4.75052,-90,-90,-0.85
4.79851,-90,-90,-0.4
4.84649,-90,-90,-0.4
4.89448,-90,-90,-0.4
4.94251,-90,-90,-0.4
4.99059,-90,-90,0.45
5.03848,-90,-90,-0.85
5.08647,-90,-90,-0.4
5.1345,-90,-90,-0.4
5.18247,-90,-90,-0.4
5.23046,-90,-90,-0.4
5.27852,-90,-90,-0.4
5.32652,-90,-90,-0.4
5.37452,-90,-90,0.45
5.42259,-90,-90,-0.85
5.47051,-90,-90,-0.4
5.5185,-90,-90,-0.4
5.56648,-90,-90,-0.4
5.61445,-90,-90,-0.4
5.6625,-90,-90,-0.4
5.71046,-90,-90,-0.4
5.75851,-90,-90,-0.4
5.80649,-90,-90,0.45
5.85453,-90,-90,-0.85
5.90251,-90,-90,0.45
5.95046,-90,-90,-0.85
5.99847,-90,-90,-0.4
6.04654,-90,-90,-0.4
6.09444,-90,-90,-0.4
6.14245,-90,-90,0.45
6.19044,-90,-90,-0.85
6.23842,-90,-90,-0.4
6.28643,-90,-90,-0.4
6.33444,-90,-90,-0.4
6.38234,-90,-90,-0.4
6.43035,-90,-90,-0.4
6.4784,-90,-90,-0.4
6.52649,-90,-90,-0.4
6.57437,-90,-90,-0.4
6.62242,-90,-90,-0.4
6.67038,-90,-90,-0.4
6.7184,-90,-90,-0.4
6.76643,-90,-90,-0.4
6.81438,-90,-90,-0.4
6.86245,-90,-90,-0.4
6.91041,-90,-90,-0.4
6.95841,-90,-90,-0.4
7.00647,-90,-90,-0.4
7.0545,-90,-90,-0.4
7.10229,-90,-90,0.45
7.15028,-90,-90,-0.85
7.19826,-90,-90,-0.4
7.24634,-90,-90,-0.4
7.29432,-90,-90,-0.4
7.34234,-90,-90,-0.4
7.39032,-90,-90,-0.4
7.43832,-90,-90,-0.4
7.48633,-90,-90,0.45
7.53433,-90,-90,-0.85
7.58232,-90,-90,-0.4
7.63027,-90,-90,0.45
7.67832,-90,-90,-0.85
7.72628,-90,-90,-0.4
7.77441,-90,-90,-0.4
7.82231,-90,-90,-0.4
7.8703,-90,-90,-0.4
7.91831,-90,-90,-0.4
7.96634,-90,-90,-0.4
8.01433,-90,-90,0.45
8.0623,-90,-90,-0.85
8.11031,-90,-90,-0.4
8.15828,-90,-90,-0.4
8.20628,-90,-90,-0.4
